,DATE,Volume AI,,,,,,,,,,,,
,31-01-2022,10745370,,,,,,,,,,,,
,01-02-2022,4814511,,,,,,,,,,,,
,02-02-2022,3286577,,,,,,,,,,,,
,03-02-2022,3651578,,,,,,,,,,,,
,04-02-2022,3284198,,,,,,,,,,,,
,07-02-2022,6833983,,,,,,,,,,,,
,08-02-2022,7167684,,,,,,,,,,,,
,09-02-2022,10185173,,,,,,,,,,,,
,10-02-2022,6074014,,,,,,,,,,,,
,11-02-2022,5646980,,,,,,,,,,,,
,14-02-2022,7441445,,,,,,,,,,,,
,15-02-2022,4650249,,,,,,,,,,,,
,16-02-2022,5433910,,,,,,,,,,,,
,17-02-2022,5107708,,,,,,,,,,,,
,18-02-2022,4099366,,,,,,,,,,,,
,21-02-2022,4307430,,,,,,,,,,,,
,22-02-2022,9148804,,,,,,,,,,,,
,23-02-2022,4124469,,,,,,,,,,,,
,24-02-2022,14139461,,,,,,,,,,,,
,25-02-2022,6452099,,,,,,,,,,,,
,28-02-2022,8301523,,,,,,,,,,,,
,02-03-2022,10220908,,,,,,,,,,,,
,03-03-2022,6517030,,,,,,,,,,,,
,04-03-2022,7094874,,,,,,,,,,,,
,07-03-2022,12615451,,,,,,,,,,,,
,08-03-2022,8462985,,,,,,,,,,,,
,09-03-2022,9896395,,,,,,,,,,,,
,10-03-2022,5989327,,,,,,,,,,,,
,11-03-2022,3353880,,,,,,,,,,,,
,14-03-2022,4016137,,,,,,,,,,,,
,15-03-2022,6006439,,,,,,,,,,,,
,16-03-2022,3843706,,,,,,,,,,,,
,17-03-2022,8168953,,,,,,,,,,,,
,21-03-2022,6317305,,,,,,,,,,,,
,22-03-2022,3000133,,,,,,,,,,,,
,23-03-2022,7974713,,,,,,,,,,,,
,24-03-2022,3597143,,,,,,,,,,,,
,25-03-2022,2930336,,,,,,,,,,,,
,28-03-2022,7960258,,,,,,,,,,,,
,29-03-2022,15833573,,,,,,,,,,,,
,30-03-2022,9938988,,,,,,,,,,,,
,31-03-2022,7371181,,,,,,,,,,,,
,01-04-2022,5920139,,,,,,,,,,,,
,04-04-2022,5783224,,,,,,,,,,,,
,05-04-2022,3990794,,,,,,,,,,,,
,06-04-2022,7490027,,,,,,,,,,,,
,07-04-2022,5818505,,,,,,,,,,,,
,08-04-2022,5583587,,,,,,,,,,,,
,11-04-2022,4927865,,,,,,,,,,,,
,12-04-2022,3904026,,,,,,,,,,,,
,13-04-2022,6343030,,,,,,,,,,,,
,18-04-2022,8950327,,,,,,,,,,,,
,19-04-2022,9957060,,,,,,,,,,,,
,20-04-2022,6632292,,,,,,,,,,,,
,21-04-2022,6111830,,,,,,,,,,,,
,22-04-2022,5182247,,,,,,,,,,,,
,25-04-2022,3571031,,,,,,,,,,,,
,26-04-2022,4987848,,,,,,,,,,,,
,27-04-2022,4571399,,,,,,,,,,,,
,28-04-2022,6101866,,,,,,,,,,,,
,29-04-2022,7219115,,,,,,,,,,,,
,02-05-2022,3938533,,,,,,,,,,,,
,04-05-2022,6785271,,,,,,,,,,,,
,05-05-2022,4836692,,,,,,,,,,,,
,06-05-2022,5912312,,,,,,,,,,,,
,09-05-2022,4819274,,,,,,,,,,,,
,10-05-2022,6746893,,,,,,,,,,,,
,11-05-2022,6919703,,,,,,,,,,,,
,12-05-2022,6754953,,,,,,,,,,,,
,13-05-2022,11938252,,,,,,,,,,,,
,16-05-2022,5412233,,,,,,,,,,,,
,17-05-2022,4847812,,,,,,,,,,,,
,18-05-2022,18992703,,,,,,,,,,,,
,19-05-2022,7322668,,,,,,,,,,,,
,20-05-2022,5577407,,,,,,,,,,,,
,23-05-2022,3788601,,,,,,,,,,,,
,24-05-2022,4053608,,,,,,,,,,,,
,25-05-2022,4188088,,,,,,,,,,,,
