Date,Open DM,High DM,Low DM,Close DM,Adj CloseDM,Volume DM,Open AI,High AI,Low AI,Close AI,Adj Close AI,Volume AI,,,,
09-12-2021,4822,4878.399902,4777,4821.200195,4821.200195,316687,716.799988,723.950012,711,713.950012,713.950012,9069515,,,,
10-12-2021,4798,4809.700195,4775.5,4796.600098,4796.600098,173574,711,718.900024,707,710.700012,710.700012,4251339,,,,
13-12-2021,4830,4870,4750,4765.799805,4765.799805,283323,715,718.400024,698.349976,703.099976,703.099976,9896899,,,,
14-12-2021,4764.75,4840,4714.100098,4814.399902,4814.399902,352396,701,706.299988,688.400024,691.599976,691.599976,9275631,,,,
15-12-2021,4799.899902,4814.25,4740,4749.450195,4749.450195,410084,691.75,694.900024,684.099976,685.450012,685.450012,7674319,,,,
16-12-2021,4801,4815.149902,4726.149902,4742.100098,4742.100098,243570,689.900024,689.900024,677.599976,681.400024,681.400024,9633006,,,,
17-12-2021,4771,4791.25,4672.149902,4697.799805,4697.799805,454824,681,685.700012,661.099976,666.049988,666.049988,13850460,,,,
20-12-2021,4669,4690,4552.25,4618.950195,4618.950195,310441,659.150024,661.150024,645.099976,658.25,658.25,11812939,,,,
21-12-2021,4612.5,4677,4571.049805,4587.399902,4587.399902,312536,663.950012,670.900024,659.200012,667,667,8084499,,,,
22-12-2021,4627.950195,4695.5,4587.399902,4655.850098,4655.850098,338380,667,686,667,684.75,684.75,8522226,,,,
23-12-2021,4711.25,4711.25,4631.399902,4647.899902,4647.899902,204211,689,689,675.5,678.75,678.75,5602466,,,,
24-12-2021,4674,4674,4615,4628.899902,4628.899902,122078,682.099976,682.849976,672.650024,677.049988,677.049988,3756020,,,,
27-12-2021,4599,4680,4555.25,4668.649902,4668.649902,294366,674.950012,678.349976,668.650024,675.75,675.75,3658572,,,,
28-12-2021,4680,4760.950195,4645,4721.950195,4721.950195,320963,679.849976,683.5,675.049988,680.049988,680.049988,3892590,,,,
29-12-2021,4739,4748.700195,4675,4683.950195,4683.950195,176720,679.950012,683.5,675,676.849976,676.849976,3847574,,,,
30-12-2021,4677.5,4699,4625,4639.350098,4639.350098,195753,677.5,685.799988,674.200012,679.349976,679.349976,5701612,,,,
31-12-2021,4641,4692.75,4636,4671.450195,4671.450195,172788,680.5,694.099976,680,683.799988,683.799988,4598628,,,,
03-01-2022,4770,4799,4701.200195,4711.5,4711.5,534384,687.799988,692.599976,683.099976,691.299988,691.299988,2939833,,,,
04-01-2022,4758.899902,4758.899902,4685,4726.950195,4726.950195,242287,692.25,703.25,690.400024,697.450012,697.450012,6473875,,,,
05-01-2022,4725,4725,4646,4687.399902,4687.399902,287948,700.900024,702.75,691.75,700,700,4586105,,,,
06-01-2022,4669.100098,4716,4642.649902,4705.649902,4705.649902,361505,702,720.5,700,710.400024,710.400024,21642414,,,,
07-01-2022,4715,4748,4696.149902,4731.350098,4731.350098,301517,713.900024,715.150024,701.450012,704.700012,704.700012,4315015,,,,
10-01-2022,4784.899902,4784.899902,4620,4633.549805,4633.549805,1037618,705.400024,711.349976,703.650024,704.950012,704.950012,3565324,,,,
11-01-2022,4649,4654.899902,4499,4504.899902,4504.899902,791417,703,709.549988,694.599976,703.450012,703.450012,10642484,,,,
12-01-2022,4500,4500,4165.299805,4276.100098,4276.100098,2521043,707.950012,732.700012,704.200012,730.200012,730.200012,12366953,,,,
13-01-2022,4276,4354.450195,4221.600098,4254.600098,4254.600098,1090010,729,735.650024,726.150024,731.799988,731.799988,5829874,,,,
14-01-2022,4266,4344.450195,4256.149902,4322.700195,4322.700195,896929,729.950012,730.900024,718.450012,720.599976,720.599976,5344096,,,,
17-01-2022,4365,4414,4290.450195,4400.5,4400.5,870335,720,734.75,719.549988,728.599976,728.599976,4340924,,,,
18-01-2022,4425,4500,4381,4441.149902,4441.149902,940894,727,730.700012,712.549988,714.349976,714.349976,4312058,,,,
19-01-2022,4459,4505,4365,4483.399902,4483.399902,579886,714,715,701.700012,703.700012,703.700012,5879490,,,,
